Material No,Material Description,Matched Category,K Factor,Equipment,MTBR,Reliability_365days
270005480,AIR HOSE,HOSE,2,,3500,0.989183414
270005481,SUCTION HOSE,HOSE,2,,3500,0.989183414
270005482,HYDRAULIC HOSE PIPE,HOSE,2,,3500,0.989183414
270005484,LUBE OIL TEMPERATURE GAUGE,OIL/CHEMICAL,1.2,,3500,0.93579915
270005485,LUBE OIL PRESSURE GAUGE,OIL/CHEMICAL,1.2,,3500,0.93579915
270005486,WATER TEMPERATURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270005487,HYDRAULIC STARTER PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270005488,MAIN PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270005489,PILOT PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270005493,ACCUMULATOR,INSULATOR,2,,3500,0.989183414
270005494,HYDRAULIC HAND PUMP ASSEMBLY,PUMP,2,,7000,0.997284815
270005495,HYDRAULIC PRESSURE  LINE TUBE,PRESSURE GAUGE,1.8,,5000,0.991045745
270005498,WIPER,WASHER,2.2,,3500,0.99310407
270005499,HYDRAULIC HAND PUMP ASSEMBLY,PUMP,2,,7000,0.997284815
270005502,HYDRAULIC STARTER,PUMP,2,,7000,0.997284815
270005512,MAIN BLOCK WIRE ROPE LINK,CABLE,1.2,,20000,0.991839115
270005515,MAIN- SAFETY LATCH,VALVE,2.2,,3500,0.99310407
270005516,HYDRAULIC OIL LEVEL GAUGE,OIL/CHEMICAL,1.2,,3500,0.93579915
270005517,OIL COOLER,OIL/CHEMICAL,1.2,,3500,0.93579915
270005518,RPM GAUGES,GAUGE,1.1,,3500,0.920180496
270005524,ALL CABLES,CABLE,1.2,,20000,0.991839115
270005526,EXHAUST PIPE,PIPE,2.1,,3500,0.991362467
270005530,AIR INTAKE  FILTER,FILTER,3,,3500,0.998866483
270005571,HYDRAULIC STARTER,PUMP,2,,7000,0.997284815
270005593,"CABLE ANCHOR 3/4""",CABLE,1.2,,20000,0.991839115
270005816,PRIMARY PLANET GEAR SHAFT,GEAR,3,10044758,3500,0.998866483
270005818,OUTPUT PLANET GEAR SHAFT,GEAR,3,10044758,3500,0.998866483
270005819,PRIMARY SUN GEAR,GEAR,3,,3500,0.998866483
270006558,FELT SEAL,SEAL,2,,3500,0.989183414
270007543,LUBE OIL PRESSUR GAUGE,OIL/CHEMICAL,1.2,,3500,0.93579915
270007543,LUBE OIL PRESSUR GAUGE,OIL/CHEMICAL,1.2,10199091,3500,0.93579915
270007543,LUBE OIL PRESSUR GAUGE,OIL/CHEMICAL,1.2,10199096,3500,0.93579915
270007544,ACCUMULATOR,INSULATOR,2,,3500,0.989183414
270007544,ACCUMULATOR,INSULATOR,2,10044758,3500,0.989183414
270007544,ACCUMULATOR,INSULATOR,2,10126970,3500,0.989183414
270007544,ACCUMULATOR,INSULATOR,2,10199096,3500,0.989183414
270007544,ACCUMULATOR,INSULATOR,2,10199100,3500,0.989183414
270007548,WATER PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270007548,WATER PRESSURE GAUGE,PRESSURE GAUGE,1.8,10199091,5000,0.991045745
270007548,WATER PRESSURE GAUGE,PRESSURE GAUGE,1.8,10199096,5000,0.991045745
270007793,BRAKE ASSEMBLY,ROTOR,2.8,,3500,0.998219088
270007804,OVER CENTRE VALVE(AUX),VALVE,2.2,,3500,0.99310407
270007806,PILOT PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270007806,PILOT PRESSURE GAUGE,PRESSURE GAUGE,1.8,10199091,5000,0.991045745
270007806,PILOT PRESSURE GAUGE,PRESSURE GAUGE,1.8,10199096,5000,0.991045745
270008141,PLUG FLUSH,PUMP,2,,7000,0.997284815
270008143,SIGHT GLASS,LIGHT,1,10044755,3500,0.900967841
270008143,SIGHT GLASS,LIGHT,1,10199089,3500,0.900967841
270008181,BRAKE CLUTCH ASSEMBLY,ROTOR,2.8,,3500,0.998219088
270008494,A-2-BLOCK HOSES,HOSE,2,,3500,0.989183414
270008497,LATCH FOR AUX HOOK BLOCK,CONNECTOR,1.2,,3500,0.93579915
270008685,MAIN PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270008686,AIR PRESSURE GAUGE,PRESSURE GAUGE,1.8,,5000,0.991045745
270008687,LUBE OIL TEMPRATURE GAUGE,OIL/CHEMICAL,1.2,,3500,0.93579915
280001928,OVERLOAD RELAY 1.6-2.5A,RELAY,1.2,,10000,0.981350384
280004880, RECTIFIER TRIGGER CIRCUIT P3.33(A1.1-A*,CIRCUIT,0.9,,3500,0.877447503
280005165,VALVE LIFTER SPRING,VALVE,2.2,,3500,0.99310407
280005168,DISCHARGE VALVE LOCK WASHER,VALVE,2.2,,3500,0.99310407
280007034,RELAY,RELAY,1.2,,10000,0.981350384
280007038,ETHERNET CONTROLLER CP343-1,CONNECTOR,1.2,,3500,0.93579915
280007040,IM153-2?REDUNDANT MODULE?,MODULE,1,,3500,0.900967841
280007043,MODULE CONNECTOR,CONNECTOR,1.2,,3500,0.93579915
280007047,ROOM TEM SENSOR,SENSOR,1.1,,5000,0.945359976
280007048,ROOM DIFFERENTIAL PRESSURE TRANSMITTER,PRESSURE TRANSMITTER,1.5,,3500,0.96688347
280007049,AMBIENT TEMP SENSOR,SENSOR,1.1,,5000,0.945359976
280007054,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007065,MODULE (16/16 BIT),MODULE,1,,3500,0.900967841
280007066,DIGITAL OUTPUT MODULE,MODULE,1,,3500,0.900967841
280007073,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007074,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007076,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007077,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007078,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007079,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007080,CIRCUIT BREAKER,CIRCUIT BREAKER,1.4,,3500,0.958659177
280007636,A1-CCU,PCB,0.9,,3500,0.877447503
280007639,A201 DIODE DROPPER PCB,PCB,0.9,,3500,0.877447503
280007711,RELAY,RELAY,1.2,,10000,0.981350384
280007982,"CONTACTOR 3P, COIL 110VAC MAKE:ABB ,A18*",OIL/CHEMICAL,1.2,,3500,0.93579915
280008362,EXPANSION VALVE-TE20 VALVE BODY-067B402*,VALVE,2.2,,3500,0.99310407
280008365,OIL PR.SWITCH-MP55,OIL/CHEMICAL,1.2,,3500,0.93579915
280008366,OIL PRESSURE SWITCH MP54,OIL/CHEMICAL,1.2,,3500,0.93579915
280008372,"UNLOADER SOL.VALVE PILOT,230V-EVR10",VALVE,2.2,,3500,0.99310407
280009141,"MOST CONTROLLER CARRIER, SIMPLEX OR RED*",CONTROLLER,0.9,,3500,0.877447503
280009252,415VAC CONTACTOR (COIL VOLTAGE-11OVAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009252,415VAC CONTACTOR (COIL VOLTAGE-11OVAC),OIL/CHEMICAL,1.2,10131451,3500,0.93579915
280009253,415VAC CONTACTOR (COIL VOLTAGE-11OVAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009254,415VAC CONTACTOR (COIL VOLTAGE-11OVAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009255,CONTACTOR 50A(COIL VOLTAGE-110VAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009256,CONTACTOR 95A(COIL VOLTAGE-110VAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009256,CONTACTOR 95A(COIL VOLTAGE-110VAC),OIL/CHEMICAL,1.2,10142989,3500,0.93579915
280009257,415VAC CONTACTOR (COIL VOLTAGE-11OVAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009258,415VAC CONTACTOR (COIL VOLTAGE-11OVAC),OIL/CHEMICAL,1.2,,3500,0.93579915
280009259,415VAC CONTACTOR(COIL VOLTAGE 110VAC ),OIL/CHEMICAL,1.2,,3500,0.93579915
280009260,OVERLOAD RELAY,RELAY,1.2,,10000,0.981350384
280009261,OVERLOAD RELAY,RELAY,1.2,,10000,0.981350384
280009262,OVERLOAD RELAY(40-50A),RELAY,1.2,,10000,0.981350384
280009263,OVERLOAD RELAY(80-100A),RELAY,1.2,,10000,0.981350384
280009264,OVERLOAD RELAY(50-200A),RELAY,1.2,,10000,0.981350384
280009265,OVERLOAD RELAY(160-630A),RELAY,1.2,,10000,0.981350384
280009271,CONTROLLER CV 240VAC,CONTROLLER,0.9,,3500,0.877447503
280009274,TRANSFORMER CV24/40 240VAC,TRANSFORMER,2,,3500,0.989183414
280009275,TRANSFORMER CV24/25 240VAC,TRANSFORMER,2,,3500,0.989183414
280009331,"CONTACTOR,A260,COIL 110V 50HZ",OIL/CHEMICAL,1.2,,3500,0.93579915
280009333,"OVERLOAD RELAY,A260(TA450DU)",ELECTRICAL RELAY,2.5,,3500,0.996494099
280009336,"OVERLOAD RELAY,A185(TA200DU-200)",RELAY,1.2,,10000,0.981350384
280009339,"OVER LOAD RELAY,A75(TA75DU-80)",ELECTRICAL RELAY,2.5,,3500,0.996494099
280009995,"AIR CIRCUIT BREAKER, 800A, 3 POLES, ELE*",CIRCUIT BREAKER,1.4,10148209,3500,0.958659177
280010332,LOCKOUT SWITCH,SWITCH,1.3,,10000,0.986570861
280011398,"MCCB,CVS100B,TM100D",PCB,0.9,,3500,0.877447503
280011400,"MCCB,CVS250B,TM250D",PCB,0.9,,3500,0.877447503
280011898,CONTROL RELAY,RELAY,1.2,,10000,0.981350384
280012546,"FUSE LINK 100 AMPS,HN TYPE",FUSE,1,,10000,0.964158094
280012899,OVERLOAD RELAY,RELAY,1.2,,10000,0.981350384
280012901,OVERLOAD RELAY,RELAY,1.2,,10000,0.981350384
280033436,"BIMETAL OVERLOAD RELAY, 2.5-4A",RELAY,1.2,,10000,0.981350384
280033444,O/L RELAY (1-1.6 A),RELAY,1.2,,10000,0.981350384
280033592,OVERLOAD RELAY 10 - 16A,RELAY,1.2,,10000,0.981350384
281159002,VIBRATION DETECTOR,SENSOR,1.1,,5000,0.945359976
281201010,PROTECTION AND BLOWER MONITOR,TRANSFORMER,2,,3500,0.989183414
300000617,SOLENOID VALVE,VALVE,2.2,,3500,0.99310407
300000618,SOLENOID VALVE,VALVE,2.2,,3500,0.99310407
320006168,SMART TRANSMITTER POWER SUPPLY,TRANSMITTER,1.7,,50000,0.99976687
320630768,TYPE FNS GATE VALVE,VALVE,2.2,,3500,0.99310407
320632470,"TYPE FNS GATE VALVE 2-1/16"" 2M PSI ,W.P*",VALVE,2.2,,3500,0.99310407
320632471,"TYPE FNS GATE VALVE 2-1/16"" 2M PSI ,HWO*",VALVE,2.2,,3500,0.99310407
320632476,TYPE FNS FORGED FLANGED END GATE VALVE *,VALVE,2.2,,3500,0.99310407
340163010,ELEMENT,FILTER ELEMENT,1.2,,3500,0.93579915
350000297,VOICE COIL DIAPHRAGM ASSY,OIL/CHEMICAL,1.2,,3500,0.93579915
350153019,KNOB FOR CHNL SEL ROTARY SWITCH,SWITCH,1.3,,10000,0.986570861
350153047,CORD,CABLE,1.2,,20000,0.991839115
350153137,"SWITCH, PAGE",SWITCH,1.3,,10000,0.986570861
360021188,GASKET COUPLING COVER,GASKET,2,10044944,3500,0.989183414
360021189,GASKET COUPLING COVER,GASKET,2,10044944,3500,0.989183414
360021191,GASKET COUPLING COVER,GASKET,2,10044933,3500,0.989183414
360021200,REDUCTION GEAR NCB-56,GEAR,3,10044933,3500,0.998866483
360021200,REDUCTION GEAR NCB-56,GEAR,3,10095398,3500,0.998866483
360021201,REDUCTION GEAR NCB-39,GEAR,3,,3500,0.998866483
360021201,REDUCTION GEAR NCB-39,GEAR,3,10044933,3500,0.998866483
360039019,COUPLING,COUPLING,2.3,10044736,3500,0.994495485
360060221,"MECH SEAL FOR MAIN INJ/PUMP 5.375""",SEAL,2,,3500,0.989183414
360060221,"MECH SEAL FOR MAIN INJ/PUMP 5.375""",SEAL,2,10044711,3500,0.989183414
360060221,"MECH SEAL FOR MAIN INJ/PUMP 5.375""",SEAL,2,10044716,3500,0.989183414
360060221,"MECH SEAL FOR MAIN INJ/PUMP 5.375""",SEAL,2,10044720,3500,0.989183414
360060222,"MECH SEAL FOR BOOSTER /PUMP 3.625""",PUMP,2,,7000,0.997284815
360060222,"MECH SEAL FOR BOOSTER /PUMP 3.625""",PUMP,2,10044725,7000,0.997284815
360060222,"MECH SEAL FOR BOOSTER /PUMP 3.625""",PUMP,2,10044727,7000,0.997284815
360060223,MECH SEAL FOR SEA WATER LIFT PUMP 3.500,SEAL,2,,3500,0.989183414
360060223,MECH SEAL FOR SEA WATER LIFT PUMP 3.500,SEAL,2,10044728,3500,0.989183414
360060223,MECH SEAL FOR SEA WATER LIFT PUMP 3.500,SEAL,2,10044731,3500,0.989183414
360105173,COUPLING,COUPLING,2.3,,3500,0.994495485
360105987,PLUG ELECTRICAL,ELECTRICAL RELAY,2.5,,3500,0.996494099
360106112,CHECK VALVE,VALVE,2.2,,3500,0.99310407
360106112,CHECK VALVE,VALVE,2.2,10117519,3500,0.99310407
360106112,CHECK VALVE,VALVE,2.2,10117520,3500,0.99310407
360125005,FILTER PANEL,FILTER,3,,3500,0.998866483
360125006,FILTER PANEL,FILTER,3,,3500,0.998866483
360125009,BAG FILTER,FILTER,3,,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045080,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045093,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045095,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045100,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045105,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045108,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10045110,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10056591,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10058080,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10138999,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10141926,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10197268,3500,0.998866483
360125009,BAG FILTER,FILTER,3,10199020,3500,0.998866483
360125010,BAG FILTER,FILTER,3,,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045080,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045093,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045095,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045098,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045100,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045105,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045108,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10045110,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10056591,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10058080,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10138999,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10141926,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10197268,3500,0.998866483
360125010,BAG FILTER,FILTER,3,10199020,3500,0.998866483
360131261,SPRING,SPRING,2.5,,3500,0.996494099
360131503,BOLT (SOCKET HEAD),BOLT,2.5,10045098,3500,0.996494099
360131504,BOLT (SOCKET HEAD),BOLT,2.5,10044933,3500,0.996494099
360131504,BOLT (SOCKET HEAD),BOLT,2.5,10044944,3500,0.996494099
360131504,BOLT (SOCKET HEAD),BOLT,2.5,10197653,3500,0.996494099
360131506,BOLT (SOCKET HEAD),BOLT,2.5,,3500,0.996494099
360131547,`O` RING INNER SEAL RING,SEAL,2,,3500,0.989183414
360131549,`O` RING SEAL HOUSING MIDDLE,SEAL,2,,3500,0.989183414
360131581,"MECH, SEAL",SEAL,2,,3500,0.989183414
360131586,O RING (SHAFT)        A--1-23,CYLINDER,2.2,10044933,3500,0.99310407
360131589,"SHAFT `O` RING (3"" COUPLING)",COUPLING,2.3,,3500,0.994495485
360131589,"SHAFT `O` RING (3"" COUPLING)",COUPLING,2.3,10044933,3500,0.994495485
360131612,NUT,NUT,2.5,,3500,0.996494099
360131629,SEAL OIL FILTER ELEMENT,OIL/CHEMICAL,1.2,,3500,0.93579915
360131629,SEAL OIL FILTER ELEMENT,OIL/CHEMICAL,1.2,10044933,3500,0.93579915
360131691,GASKET,GASKET,2,10044933,3500,0.989183414
360131692,GASKET,GASKET,2,10044933,3500,0.989183414
360131692,GASKET,GASKET,2,10140297,3500,0.989183414
360131694,GASKET,GASKET,2,,3500,0.989183414
360131703,GASKET,GASKET,2,10140297,3500,0.989183414
360131722,LABYRINTH SEAL ASSEMBLY,SEAL,2,,3500,0.989183414
360131771,WASHER,WASHER,2.2,,3500,0.99310407
360131799,HONEY COMB SEAL,SEAL,2,,3500,0.989183414
360131894,RELIEF VALVE,VALVE,2.2,,3500,0.99310407
360131903,INSULATION (COIL CLAD),OIL/CHEMICAL,1.2,,3500,0.93579915
360131906,PRESSURE REGULATOR,PRESSURE TRANSMITTER,1.5,,3500,0.96688347
360132001,POST LO FILTER ELEMENT HILCO,FILTER ELEMENT,1.2,,3500,0.93579915
360132001,POST LO FILTER ELEMENT HILCO,FILTER ELEMENT,1.2,10045081,3500,0.93579915
360132051,SPRING,SPRING,2.5,,3500,0.996494099
360132051,SPRING,SPRING,2.5,10044933,3500,0.996494099
360132061,L O FILTER ELEMENT HILCO,FILTER ELEMENT,1.2,,3500,0.93579915
360132061,L O FILTER ELEMENT HILCO,FILTER ELEMENT,1.2,10044933,3500,0.93579915
360201053,NUT CASTELLATED       S/NTV,NUT,2.5,,3500,0.996494099
360201070,SEALING RING,SEAL,2,,3500,0.989183414
360201092,SEALING WASHER,WASHER,2.2,,3500,0.99310407
360201414,WASHER PLAIN,WASHER,2.2,,3500,0.99310407
360261454,BALL BEARING,BEARING,2.5,,3500,0.996494099
360261454,BALL BEARING,BEARING,2.5,10044758,3500,0.996494099
360261454,BALL BEARING,BEARING,2.5,10199089,3500,0.996494099
360261464,PR. PLANET GEAR,GEAR,3,,3500,0.998866483
360261465,OUTPUT PLANET GEAR,GEAR,3,,3500,0.998866483
360261469,THRUST WASHER,WASHER,2.2,,3500,0.99310407
360261476,ROLLER BEARING,BEARING,2.5,10044758,3500,0.996494099
360261491,"CABLE ENGINE 35""",CABLE,1.2,,20000,0.991839115
360261510,RING & SEAL KIT,SEAL,2,,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10044892,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10045187,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10199082,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10199086,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10199088,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10199089,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10199098,3500,0.989183414
360261510,RING & SEAL KIT,SEAL,2,10199099,3500,0.989183414
360289001,POWER SUPPLY,POWER SUPPLY,1,,3500,0.900967841
360406792,SEALING RING,SEAL,2,,3500,0.989183414
360406792,SEALING RING,SEAL,2,10044939,3500,0.989183414
360411004,BOLT,BOLT,2.5,,3500,0.996494099
360411004,BOLT,BOLT,2.5,10044939,3500,0.996494099
360411095,WASHER,WASHER,2.2,,3500,0.99310407
360411107,SPRING WASHER,WASHER,2.2,,3500,0.99310407
360411312,CONTROL VALVE SOLENOID,VALVE,2.2,,3500,0.99310407
360411314,DETECTOR ASSY,SENSOR,1.1,,5000,0.945359976
360411317,SEAL,SEAL,2,,3500,0.989183414
360411323,SEAL,SEAL,2,,3500,0.989183414
360433392,CONTROL VALVE PACKAGE,VALVE,2.2,,3500,0.99310407
360561056,CABLE ENGINE CONTROL 21FT,CABLE,1.2,,20000,0.991839115
360561118,ASSY VALVE SWING,VALVE,2.2,,3500,0.99310407
360561154,GAUGE 0-300PSI PANEL MNT,GAUGE,1.1,,3500,0.920180496
360561162,CABLE ENGINE CONTROL,CABLE,1.2,,20000,0.991839115
360561316,GAUGE 0-3000PSI PANEL MNT,GAUGE,1.1,,3500,0.920180496
360561316,GAUGE 0-3000PSI PANEL MNT,GAUGE,1.1,10044889,3500,0.920180496
360561316,GAUGE 0-3000PSI PANEL MNT,GAUGE,1.1,10044895,3500,0.920180496
360561517,GAUGE WATER TEMP 241,GAUGE,1.1,,3500,0.920180496
360562203,GAUGE WATER PRESSURE,PRESSURE GAUGE,1.8,,5000,0.991045745
360601295,AIR FLOW SWITCH,SWITCH,1.3,,10000,0.986570861
360601405,BOLT 1/2 INCH UNF,BOLT,2.5,,3500,0.996494099
360623009,BAFFLE BEARING HOUSING,BEARING,2.5,,3500,0.996494099
360623013,NUT UNC 1/2,NUT,2.5,,3500,0.996494099
360623048,JOINT PUMP MOUNTING COVER,PUMP,2,,7000,0.997284815
360641750,COUPLING FLEX,COUPLING,2.3,,3500,0.994495485
360644067,OIL FLINGER,OIL/CHEMICAL,1.2,,3500,0.93579915
360644206,OIL BAFFLE,OIL/CHEMICAL,1.2,,3500,0.93579915
360644207,OIL BAFFLE C3604,OIL/CHEMICAL,1.2,,3500,0.93579915
