Plant,Material,Storage location,Key,MRP Controller,MRP Type,Material type,Material Group,Val. stock,Val. stock,ValStckVal,ValStckVal,CnsgtStock,CnsgtStock,Val.Stock in May 2025,Increase
"11F2 SHP Process Complex, UT OFFSHO",270004667 ASSLY VALVE OVERRIDE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270004667 ASSLY VALVE OVERRIDE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"5,24,465.97",524465.97
"11F2 SHP Process Complex, UT OFFSHO",220076019 GUIDED WAVE TDR PROBE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220076019 GUIDED WAVE TDR PROBE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"5,24,214.13",524214.13
"11F2 SHP Process Complex, UT OFFSHO",270010992 STARTER VALVE SMB 618,11F2NP06                       NH-PEL-06,"11F2 SHP Process Complex, UT OFFSHO270010992 STARTER VALVE SMB 61811F2NP06                       NH-PEL-06",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"5,22,139.70",522139.7
"11F2 SHP Process Complex, UT OFFSHO",370208434 BRAKE CYLINDER CAP,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO370208434 BRAKE CYLINDER CAP11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,37        Rotating EquipContd,224,NO,518810.88,INR,0,NO,"5,18,810.88",0
"11F2 SHP Process Complex, UT OFFSHO",270009805 ASSY HI-ANGLE KO ALRM 12V RH,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270009805 ASSY HI-ANGLE KO ALRM 12V RH11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"5,15,641.17",515641.17
"11F2 SHP Process Complex, UT OFFSHO",080400908 WOODEN WEDGE,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO080400908 WOODEN WEDGE11F2FN01                       SHP-Main-01",AAS AAS,ND No planning,ZSTO ONGC Stores,08        Build mat inc timber,0,NO,0,INR,0,NO,"5,10,287.50",510287.5
"11F2 SHP Process Complex, UT OFFSHO",080400908 WOODEN WEDGE,11F2NP06                       NH-PEL-06,"11F2 SHP Process Complex, UT OFFSHO080400908 WOODEN WEDGE11F2NP06                       NH-PEL-06",AAS AAS,ND No planning,ZSTO ONGC Stores,08        Build mat inc timber,0,NO,0,INR,0,NO,"5,10,287.50",510287.5
"11F2 SHP Process Complex, UT OFFSHO",221268042 COUPLING (SUP P/N TSKS-0027-0078-1000),11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221268042 COUPLING (SUP P/N TSKS-0027-0078-1000)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,4,NO,508892,INR,0,NO,"5,08,892.00",0
"11F2 SHP Process Complex, UT OFFSHO",270009802 VALVE SOLENOID 24 VDC,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270009802 VALVE SOLENOID 24 VDC11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"5,08,591.49",508591.49
"11F2 SHP Process Complex, UT OFFSHO",220104247 ADJUSTMENT PLAT,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220104247 ADJUSTMENT PLAT11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,507130.84,INR,0,NO,"5,07,130.84",0
"11F2 SHP Process Complex, UT OFFSHO",221445728 RELIEF VALVE REPAIR KIT-HYDRAULIC,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO221445728 RELIEF VALVE REPAIR KIT-HYDRAULIC11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"5,05,534.34",505534.34
"11F2 SHP Process Complex, UT OFFSHO","220104239 SET, CAPSCREW, M24 X 70 MM (4/SET)",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220104239 SET, CAPSCREW, M24 X 70 MM (4/SET)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,504936.27,INR,0,NO,"5,04,936.27",0
"11F2 SHP Process Complex, UT OFFSHO",270008583 AUX ANTI TWO BLOCK ASSEMBLY,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO270008583 AUX ANTI TWO BLOCK ASSEMBLY11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,5,NO,502170.07,INR,0,NO,"5,02,170.07",0
"11F2 SHP Process Complex, UT OFFSHO","154002240 PRESSURE GAUGE 6""DIAL,SS316 0-60 KG/CM2",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO154002240 PRESSURE GAUGE 6""DIAL,SS316 0-60 KG/CM211F2FN01                       SHP-Main-01",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,0,NO,0,INR,0,NO,"5,01,165.00",501165
"11F2 SHP Process Complex, UT OFFSHO","360060222 MECH SEAL FOR BOOSTER /PUMP 3.625""",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO360060222 MECH SEAL FOR BOOSTER /PUMP 3.625""11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,36        Rotating Equip-MOP,8,NO,1998057,INR,0,NO,"4,99,514.25",-1498542.75
"11F2 SHP Process Complex, UT OFFSHO",215458011 NOZZLE AS.,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO215458011 NOZZLE AS.11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,"21        Spare-Rig, DG etc.",0,NO,0,INR,0,NO,"4,98,226.45",498226.45
"11F2 SHP Process Complex, UT OFFSHO","380155001 EXPLOSION PROOF STROBE, FLANGE 3200EPFM",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO380155001 EXPLOSION PROOF STROBE, FLANGE 3200EPFM11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,38        Electrical-MumbaiOP,5,ST,495746.4,INR,0,ST,"4,95,746.40",0
"11F2 SHP Process Complex, UT OFFSHO",220069564 FIELDBUS MODULE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220069564 FIELDBUS MODULE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,3,NO,455430.47,INR,0,NO,"4,94,913.22",39482.75
"11F2 SHP Process Complex, UT OFFSHO","220087744 PR TRANS 0 -10 KG/CM2,1/2''NPT (F)",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO220087744 PR TRANS 0 -10 KG/CM2,1/2''NPT (F)11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,94,599.67",494599.67
"11F2 SHP Process Complex, UT OFFSHO",280012058 SLIDE BEARING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO280012058 SLIDE BEARING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,28        Spare-ElectricPlant,1,NO,493333,INR,0,NO,"4,93,333.00",0
"11F2 SHP Process Complex, UT OFFSHO",220104132 IMPELLER SLEEVE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220104132 IMPELLER SLEEVE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,489809.94,INR,0,NO,"4,89,809.94",0
"11F2 SHP Process Complex, UT OFFSHO",220086611 BEARING END COVER (DE),11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220086611 BEARING END COVER (DE)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,488799.67,INR,0,NO,"4,88,799.67",0
"11F2 SHP Process Complex, UT OFFSHO",220044638 ETHERNET COMM. IN,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220044638 ETHERNET COMM. IN11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,86,069.14",486069.14
"11F2 SHP Process Complex, UT OFFSHO","150006744 CONTROL VALVE 3"" 900 RTJ FAIL CLOSE",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO150006744 CONTROL VALVE 3"" 900 RTJ FAIL CLOSE11F2FN01                       SHP-Main-01",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,2,NO,479598,INR,0,NO,"4,79,598.00",0
"11F2 SHP Process Complex, UT OFFSHO",220073748 ETHERNET COMMUNICATION MODULE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220073748 ETHERNET COMMUNICATION MODULE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,3,NO,419263.79,INR,0,NO,"4,77,419.83",58156.04
"11F2 SHP Process Complex, UT OFFSHO",280012055 SLIDE BEARING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO280012055 SLIDE BEARING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,28        Spare-ElectricPlant,1,NO,476795,INR,0,NO,"4,76,795.00",0
"11F2 SHP Process Complex, UT OFFSHO",221445647 FILTER ELEMENT,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO221445647 FILTER ELEMENT11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,25,NO,1013499.29,INR,0,NO,"4,75,594.84",-537904.45
"11F2 SHP Process Complex, UT OFFSHO",211567994 AIR CLEANER GROUP,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO211567994 AIR CLEANER GROUP11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,"21        Spare-Rig, DG etc.",7,NO,539082.61,INR,0,NO,"4,75,509.45",-63573.16
"11F2 SHP Process Complex, UT OFFSHO",220087746 PH/ORP ANALYSER SYS CONSIST-SENSOR/ TRAN,11F2NP16                       NH-PEL-16,"11F2 SHP Process Complex, UT OFFSHO220087746 PH/ORP ANALYSER SYS CONSIST-SENSOR/ TRAN11F2NP16                       NH-PEL-16",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,73,427.27",473427.27
"11F2 SHP Process Complex, UT OFFSHO","360261491 CABLE ENGINE 35""",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO360261491 CABLE ENGINE 35""11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,36        Rotating Equip-MOP,18,NO,472406.07,INR,0,NO,"4,72,406.07",0
"11F2 SHP Process Complex, UT OFFSHO","222051004 SOL V/V,3/4""FPT,NC,TOSCO RATES 1000PSI24",11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO222051004 SOL V/V,3/4""FPT,NC,TOSCO RATES 1000PSI2411F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,72,375.94",472375.94
"11F2 SHP Process Complex, UT OFFSHO",220003073 PROXIMETER FOR PROCESS GAS COMPRESSOR,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220003073 PROXIMETER FOR PROCESS GAS COMPRESSOR11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,4,NO,466437.69,INR,0,NO,"4,66,437.69",0
"11F2 SHP Process Complex, UT OFFSHO",270001693 AUX-ANTI TWO BLOCK,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270001693 AUX-ANTI TWO BLOCK11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,1,NO,484382.75,INR,0,NO,"4,65,919.74",-18463.01
"11F2 SHP Process Complex, UT OFFSHO",270001693 AUX-ANTI TWO BLOCK,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO270001693 AUX-ANTI TWO BLOCK11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"4,65,919.73",465919.73
"11F2 SHP Process Complex, UT OFFSHO","360261498 CABLE ACCL. 360""",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO360261498 CABLE ACCL. 360""11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,36        Rotating Equip-MOP,0,NO,0,INR,0,NO,"4,61,298.98",461298.98
"11F2 SHP Process Complex, UT OFFSHO",270002136 HI/LO ANGLE KICK OUT ASSLY,11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO270002136 HI/LO ANGLE KICK OUT ASSLY11F2FP01                       SHP-PEL-01",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,3,NO,474883.72,INR,0,NO,"4,58,446.47",-16437.25
"11F2 SHP Process Complex, UT OFFSHO",220006311 VIBRATION PROBE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220006311 VIBRATION PROBE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,24,NO,454833.6,INR,0,NO,"4,54,833.60",0
"11F2 SHP Process Complex, UT OFFSHO","150013131 1.1/2"" W/L RETRIEVABLE 13 % CR ORIFICE *",11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO150013131 1.1/2"" W/L RETRIEVABLE 13 % CR ORIFICE *11F2FP01                       SHP-PEL-01",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,0,NO,0,INR,0,NO,"4,54,366.26",454366.26
"11F2 SHP Process Complex, UT OFFSHO",220074806 7200 5MM PROXIMITY PROBE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220074806 7200 5MM PROXIMITY PROBE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,8,NO,453985.01,INR,0,NO,"4,53,985.01",0
"11F2 SHP Process Complex, UT OFFSHO","140007946 WIRE ROPE DIA:24 MM, RHL,GALV, COMPACTE*",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO140007946 WIRE ROPE DIA:24 MM, RHL,GALV, COMPACTE*11F2FP25                       Maint.Spares-PEL",AAS AAS,ND No planning,ZSTO ONGC Stores,14        Misc. stores,444,M,447552,INR,0,M,"4,47,552.00",0
"11F2 SHP Process Complex, UT OFFSHO",220022100 SOLENOID VALVE: 3/2 WAY NORMALLY CLOSED*,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220022100 SOLENOID VALVE: 3/2 WAY NORMALLY CLOSED*11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,47,123.83",447123.83
"11F2 SHP Process Complex, UT OFFSHO",220086616 OIL CONTROL RING,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220086616 OIL CONTROL RING11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,445699.21,INR,0,NO,"4,45,699.21",0
"11F2 SHP Process Complex, UT OFFSHO",211537374 TURBO GROUP,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO211537374 TURBO GROUP11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,"21        Spare-Rig, DG etc.",0,NO,0,INR,0,NO,"4,44,101.18",444101.18
"11F2 SHP Process Complex, UT OFFSHO",220093193 SMART POSITIONER WITH SS ENCLOSURE,11F2NP02                       NH-PEL-02,"11F2 SHP Process Complex, UT OFFSHO220093193 SMART POSITIONER WITH SS ENCLOSURE11F2NP02                       NH-PEL-02",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,42,092.00",442092
"11F2 SHP Process Complex, UT OFFSHO",221358007 LABYRINTH(SHAFT) AERODYNAMIC,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221358007 LABYRINTH(SHAFT) AERODYNAMIC11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,440030.59,INR,0,NO,"4,40,030.59",0
"11F2 SHP Process Complex, UT OFFSHO",220082305 8Ó THRUST COLLAR PULLER,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220082305 8Ó THRUST COLLAR PULLER11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,ST,439136.6,INR,0,ST,"4,39,136.60",0
"11F2 SHP Process Complex, UT OFFSHO","154002570 DIFFERENTIAL PRESS. GAUGE 0-2KG/CM2 6"" *",11F2NP02                       NH-PEL-02,"11F2 SHP Process Complex, UT OFFSHO154002570 DIFFERENTIAL PRESS. GAUGE 0-2KG/CM2 6"" *11F2NP02                       NH-PEL-02",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,40,NO,439040,INR,0,NO,"4,39,040.00",0
"11F2 SHP Process Complex, UT OFFSHO",220074759 SOLENOID VALVE-24V AUTO RESET,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220074759 SOLENOID VALVE-24V AUTO RESET11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,36,013.73",436013.73
"11F2 SHP Process Complex, UT OFFSHO",220076015 GUIDED WAVE TDR PROBE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220076015 GUIDED WAVE TDR PROBE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,35,054.38",435054.38
"11F2 SHP Process Complex, UT OFFSHO",220120171 TURBINE ROTOR MODEL-7100,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220120171 TURBINE ROTOR MODEL-710011F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,29,074.32",429074.32
"11F2 SHP Process Complex, UT OFFSHO",210029544 LOCAL DISPLAY UNIT,11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO210029544 LOCAL DISPLAY UNIT11F2FP01                       SHP-PEL-01",AAP AAP,ND No planning,ZSPR ONGC Spares,"21        Spare-Rig, DG etc.",2,NO,428125.37,INR,0,NO,"4,28,125.37",0
"11F2 SHP Process Complex, UT OFFSHO",220042537 STUDBOLTS 7/8#DIAX6# LG. C/W 2 NUTS EAC*,11F2NP16                       NH-PEL-16,"11F2 SHP Process Complex, UT OFFSHO220042537 STUDBOLTS 7/8#DIAX6# LG. C/W 2 NUTS EAC*11F2NP16                       NH-PEL-16",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,250,NO,433562.52,INR,0,NO,"4,27,840.00",-5722.52
"11F2 SHP Process Complex, UT OFFSHO","220101697 DP GAUGE 0-2KG/CM2 6""DIAL,MONEL",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220101697 DP GAUGE 0-2KG/CM2 6""DIAL,MONEL11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,425600.02,INR,0,NO,"4,25,600.02",0
"11F2 SHP Process Complex, UT OFFSHO",221445316 LOCK NUT,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221445316 LOCK NUT11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,3,NO,423964.89,INR,0,NO,"4,23,964.89",0
"11F2 SHP Process Complex, UT OFFSHO",220076012 GUIDED WAVE TDR PROBE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220076012 GUIDED WAVE TDR PROBE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,19,191.57",419191.57
"11F2 SHP Process Complex, UT OFFSHO","380277007 FLANGE BEARING 2 15/16"" F48-K-215-R",11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO380277007 FLANGE BEARING 2 15/16"" F48-K-215-R11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,38        Electrical-MumbaiOP,0,NO,0,INR,0,NO,"4,19,165.00",419165
"11F2 SHP Process Complex, UT OFFSHO",070001941 CABLE 20 PAIR ARMOURED FRLS TELEPHONE C*,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO070001941 CABLE 20 PAIR ARMOURED FRLS TELEPHONE C*11F2FP25                       Maint.Spares-PEL",AAS AAS,ND No planning,ZSTO ONGC Stores,07        Elect/Electronic str,0,M,0,INR,0,M,"4,18,838.72",418838.72
"11F2 SHP Process Complex, UT OFFSHO",220023046 PUMP ASSEMBLY MAKE-WILDEN,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220023046 PUMP ASSEMBLY MAKE-WILDEN11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,4,NO,417480,INR,0,NO,"4,17,480.00",0
"11F2 SHP Process Complex, UT OFFSHO",220076014 GUIDED WAVE TDR PROBE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220076014 GUIDED WAVE TDR PROBE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"4,16,682.91",416682.91
"11F2 SHP Process Complex, UT OFFSHO","154002241 PRESSURE GAUGE 6""DIAL,SS316 0-100 KG/CM2",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO154002241 PRESSURE GAUGE 6""DIAL,SS316 0-100 KG/CM211F2FN01                       SHP-Main-01",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,0,NO,0,INR,0,NO,"4,14,871.00",414871
"11F2 SHP Process Complex, UT OFFSHO",240000641 8 MM PROXIMITY PROBE VIBRATION,11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO240000641 8 MM PROXIMITY PROBE VIBRATION11F2FP01                       SHP-PEL-01",AAP AAP,ND No planning,ZSPR ONGC Spares,24        Spare-Geolog. equip,10,NO,409141.25,INR,0,NO,"4,09,141.25",0
"11F2 SHP Process Complex, UT OFFSHO",140388132 CARTRIDGE  SINGLE 16MM RED,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO140388132 CARTRIDGE  SINGLE 16MM RED11F2FN01                       SHP-Main-01",AAS AAS,ND No planning,ZSTO ONGC Stores,14        Misc. stores,0,NO,0,INR,0,NO,"4,07,680.00",407680
"11F2 SHP Process Complex, UT OFFSHO",368207046 OIL THROWER NON DRIVE END,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO368207046 OIL THROWER NON DRIVE END11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,36        Rotating Equip-MOP,4,NO,536193.04,INR,0,NO,"4,02,144.78",-134048.26
"11F2 SHP Process Complex, UT OFFSHO",220086613 BEARING END COVER (DE) OUTER,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220086613 BEARING END COVER (DE) OUTER11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,400055.83,INR,0,NO,"4,00,055.83",0
"11F2 SHP Process Complex, UT OFFSHO","270008612 KIT,INST. LIMIT SWITCH",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270008612 KIT,INST. LIMIT SWITCH11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,1,NO,399283.44,INR,0,NO,"3,99,283.44",0
"11F2 SHP Process Complex, UT OFFSHO",220041326 H D ROTO FLUID PLUS-20 LTS,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220041326 H D ROTO FLUID PLUS-20 LTS11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"3,98,308.41",398308.41
"11F2 SHP Process Complex, UT OFFSHO","220104240 SET, CAPSCREW, M24 X 70 MM (8/SET)",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220104240 SET, CAPSCREW, M24 X 70 MM (8/SET)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,397721.82,INR,0,NO,"3,97,721.82",0
"11F2 SHP Process Complex, UT OFFSHO","220103057 PROXIMITOR I/O MODULE (SLOT 3,4,5,6,",11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220103057 PROXIMITOR I/O MODULE (SLOT 3,4,5,6,11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"3,97,385.11",397385.11
"11F2 SHP Process Complex, UT OFFSHO","220002536 JOURNAL BEARING SLEEVE , DE",11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220002536 JOURNAL BEARING SLEEVE , DE11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,396795.28,INR,0,NO,"3,96,795.28",0
